#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
southcrosser;Southcrosser;;;;;;;;;;;;;x
GOD_AINUR;the Ainur;;;;;;;;;;;;x
GOD_QUENDI;the Quendi;;;;;;;;;;;;x
GOD_ELDARIN;Eldarin;;;;;;;;;;;;x
GOD_KHAZAD;Khazad;;;;;;;;;;;;x
GOD_HOBBITS;the Hobbits;;;;;;;;;;;;x
GOD_THE_WIZARDS;The Wizards;;;;;;;;;;;;x
THE_KING_OF_DARKNESS;The King of Darkness;;;;;;;;;;;;x
THE_EVIL_LORD;The Evil Lord;;;;;;;;;;;;x
DARTH_SAURON; Darth Sauron;;;;;;;;;;;;x
quendic;Quendic;;;;;;;;;;;;x
quendic_full;Quendism;;;;;;;;;;;;x
quendic_DESC;There will be description. Once...;;;;;;;;;;;;x
ritualistic;Ritualistic;;;;;;;;;;;;x
ritualistic_full;Ritualism;;;;;;;;;;;;x
ritualistic_DESC;There will be description. Once...;;;;;;;;;;;;x
ARCHBISHOP;Archbishop;;;;;;;;;;;;x
CHOSEN_ONE;Chosen One;;;;;;;;;;;;x
TOHUNGANUI;Tohunganui;;;;;;;;;;;;x
eruist_group;Eruist;;;;;;;;;;;;x
eastern_group;Eastern;;;;;;;;;;;;x
shinto;Shinto;;;;;;;;;;;;x
shinto_full;Shinto;;;;;;;;;;;;x
shinto_DESC;The newest incarnation of the ancient religion of Japan, Shinto is the official religion of the reformed Japanese Empire. Shinto regards the Undying Emperor as the supreme deity, while also following many more minor gods and supernatural beings.;;;;;;;;;;;;x
GOD_THE_EMPEROR;The Emperor;;;;;;;;;;;;x
GOD_AMATERASU;Amaterasu;;;;;;;;;;;;x
GOD_TSUKUYOMI;Tsukuyomi;;;;;;;;;;;;x
GOD_SUSANOO;Susanoo;;;;;;;;;;;;x
GOD_UZUME;Uzume;;;;;;;;;;;;x
GOD_INARI;Inari;;;;;;;;;;;;x
GOD_TENJIN;Tenjin;;;;;;;;;;;;x
GOD_EBISU;Ebisu;;;;;;;;;;;;x
GOD_RYUJIN;Ryujin;;;;;;;;;;;;x
GOD_JIZO;Jizo;;;;;;;;;;;;x
GOD_THE_YOKAI;The Yokai;;;;;;;;;;;;x
THE_KOJIKI;The Kojiki;;;;;;;;;;;;x
GOD_TIAN;Tian;;;;;;;;;;;;x
GOD_THE_JADE_EMPEROR;The Jade Emperor;;;;;;;;;;;;x
GOD_THE_QUEEN_MOTHER_OF_THE_WEST;The Queen Mother of the West;;;;;;;;;;;;x
GOD_SHENG_YIJUN;Sheng Yijun;;;;;;;;;;;;x
GOD_GUANYIN;Guanyin;;;;;;;;;;;;x
GOD_CONFUCIUS;Confucius;;;;;;;;;;;;x
GOD_LAOZI;Laozi;;;;;;;;;;;;x
GOD_THE_DRAGON_KING;The Dragon King;;;;;;;;;;;;x
GOD_THE_EIGHT_IMMORTALS;The Eight Immortals;;;;;;;;;;;;x
GOD_THE_YELLOW_EMPEROR;The Yellow Emperor;;;;;;;;;;;;x
GOD_THE_FLAME_EMPEROR;The Flame Emperor;;;;;;;;;;;;x
GOD_THE_ANCESTORS;The Ancestors;;;;;;;;;;;;x
GOD_YAN_WANG;Yan Wang;;;;;;;;;;;;x
GOD_THE_GUI;The Gui;;;;;;;;;;;;x
GOD_MAO;Mao;;;;;;;;;;;;x
GOD_THE_PARTY;The Party;;;;;;;;;;;;x
THE_CHINESE_CLASSICS;The Chinese Classics;;;;;;;;;;;;x
STAT_PIETY_DE;De;;;;;;;;;;;;x
shenist;Shenist;;;;;;;;;;;;x
shenist_full;Shenist;;;;;;;;;;;;x
shenist_DESC;Also known as the Chinese Folk Religion, Shenism is a polytheistic religion originating from ancient China, with Shenists worship an ever-expanding list of gods and immortals. The religious head of Shenism is the Emperor, who through the mandate of Heaven claims dominion over the Empire of China. Shenism is highly syncretic, with many different branches such as Taoism, Chenghuangshendao, Qigong, and Yiguandao.;;;;;;;;;;;;x
GOD_THE_RED_DYNASTY;The Red Dynasty;;;;;;;;;;;;x
GOD_THE_PEOPLE;The People;;;;;;;;;;;;x
GOD_THE_CAUSE
GOD_LEI_FENG
FOUR_OLD_ONES
GREAT_PATROTIC_WAR
THE_LITTLE_RED_BOOK
red_law
OFFICIAL
oldworld;Old World Cultist;;;;;;;;;;;;x
digger;Digger;;;;;;;;;;;;x
MISSIONS;Mission;;;;;;;;;;;;x
ANZAC_LEGEND;the ANZAC Legend;;;;;;;;;;;;x
PRIEST;Priest;;;;;;;;;;;;x
GOD_AUSSIE_STRAYA;Aussie Straya;;;;;;;;;;;;x
GOD_SIMPSON_AND_HIS_DONKEY;Simpson and his Donkey;;;;;;;;;;;;x
GOD_MONASH;Monash;;;;;;;;;;;;x
GOD_TOMAS_BLAMEY;Tomas Blamey;;;;;;;;;;;;x
GOD_NED_KELLY;Ned Kelly;;;;;;;;;;;;x
JOHNY_TURK;Johny Turk;;;;;;;;;;;;x
JAP;Jap;;;;;;;;;;;;x
HUN;Hun;;;;;;;;;;;;x
localite;Localite;;;;;;;;;;;;x
mutineer;Mutineer;;;;;;;;;;;;x
mutineer_DESC;tbd;;;;;;;;;;;;x
mutineer_reformed;Mutineer;;;;;;;;;;;;x
mutineer_reformed_DESC;tbd;;;;;;;;;;;;x
BOUNTY;Bounty;;;;;;;;;;;;x
FLETCHER;Fletcher;;;;;;;;;;;;x
COOK;Cook;;;;;;;;;;;;x
MAUATUA;Mauatua;;;;;;;;;;;;x
THUNDERBOLT;Thunderbolt;;;;;;;;;;;;x
THE_KING;The King;;;;;;;;;;;;x
THE_MARINES;The Marines;;;;;;;;;;;;x
GAOL;Gaol;;;;;;;;;;;;x
THE_ACT;The Act;;;;;;;;;;;;x
